Sound,Probability,Time,Date,Distance
gunshot,100,03:39:46 : PM,30-12-2018,null
gunshot,100,03:40:03 : PM,30-12-2018,null
gunshot,100,03:40:14 : PM,30-12-2018,null
gunshot,100,03:53:55 : PM,30-12-2018,null

gunshot,100.0,11:06:16 : PM,2018-12-30,null
gunshot,100.0,11:06:24 : PM,2018-12-30,null
gunshot,100.0,11:06:30 : PM,2018-12-30,null
gunshot,100.0,11:06:36 : PM,2018-12-30,null
gunshot,100.0,12:14:00 : PM,2018-12-31,null
gunshot,100.0,12:18:53 : PM,2018-12-31,null
gunshot,100.0,12:32:42 : PM,2018-12-31,null
gunshot,100.0,04:34:12 : PM,2018-12-31,null
gunshot,100.0,05:10:12 : PM,2018-12-31,null
q,100.0,05:39:55 : PM,2019-01-24,null
q,92.56,02:14:46 : PM,2019-01-26,null
q,90.41,02:15:09 : PM,2019-01-26,null
clap,97.11,03:00:22 : PM,2019-02-04,null
clap,96.91,03:00:33 : PM,2019-02-04,null
clap,97.31,03:00:38 : PM,2019-02-04,null
clap,97.25,03:00:44 : PM,2019-02-04,null
clap,96.87,03:00:50 : PM,2019-02-04,null
clap,97.47,03:00:55 : PM,2019-02-04,null
clap,97.49,03:01:01 : PM,2019-02-04,null
clap,97.57,03:01:07 : PM,2019-02-04,null
clap,97.39,03:01:12 : PM,2019-02-04,null
clap,97.82,03:01:18 : PM,2019-02-04,null
clap,97.55,03:01:24 : PM,2019-02-04,null
clap,97.48,03:01:29 : PM,2019-02-04,null
clap,97.33,03:01:35 : PM,2019-02-04,null
clap,97.39,03:01:41 : PM,2019-02-04,null
clap,97.52,03:01:46 : PM,2019-02-04,null
clap,97.55,03:01:52 : PM,2019-02-04,null
clap,97.44,03:01:58 : PM,2019-02-04,null
clap,97.23,03:02:03 : PM,2019-02-04,null
clap,96.94,03:02:09 : PM,2019-02-04,null
clap,96.78,03:02:15 : PM,2019-02-04,null
clap,97.09,03:02:20 : PM,2019-02-04,null
clap,97.0,03:02:26 : PM,2019-02-04,null
clap,96.84,03:02:32 : PM,2019-02-04,null
clap,96.73,03:02:37 : PM,2019-02-04,null
clap,96.8,03:02:43 : PM,2019-02-04,null
clap,96.64,03:02:49 : PM,2019-02-04,null
clap,96.88,03:02:55 : PM,2019-02-04,null
clap,96.9,03:03:00 : PM,2019-02-04,null
clap,96.54,03:03:06 : PM,2019-02-04,null
clap,96.43,03:03:12 : PM,2019-02-04,null
clap,96.61,03:03:17 : PM,2019-02-04,null
clap,95.15,03:03:23 : PM,2019-02-04,null
clap,95.42,03:03:29 : PM,2019-02-04,null
clap,94.99,03:03:34 : PM,2019-02-04,null
clap,94.99,03:03:40 : PM,2019-02-04,null
clap,94.0,03:03:46 : PM,2019-02-04,null
clap,94.99,03:03:51 : PM,2019-02-04,null
clap,95.39,03:03:57 : PM,2019-02-04,null
clap,95.2,03:04:02 : PM,2019-02-04,null
clap,94.42,03:04:08 : PM,2019-02-04,null
clap,93.9,03:04:14 : PM,2019-02-04,null
clap,93.37,03:04:19 : PM,2019-02-04,null
clap,93.61,03:04:25 : PM,2019-02-04,null
clap,95.44,03:04:31 : PM,2019-02-04,null
clap,95.32,03:04:36 : PM,2019-02-04,null
clap,94.47,03:04:42 : PM,2019-02-04,null
clap,94.53,03:04:48 : PM,2019-02-04,null
clap,95.31,03:04:53 : PM,2019-02-04,null
clap,95.66,03:04:59 : PM,2019-02-04,null
clap,95.45,03:05:05 : PM,2019-02-04,null
clap,94.46,03:05:10 : PM,2019-02-04,null
clap,94.34,03:05:16 : PM,2019-02-04,null
clap,95.91,03:05:21 : PM,2019-02-04,null
clap,94.84,03:05:27 : PM,2019-02-04,null
clap,92.01,03:05:33 : PM,2019-02-04,null
clap,95.29,03:05:38 : PM,2019-02-04,null
clap,95.86,03:05:44 : PM,2019-02-04,null
clap,94.63,03:05:50 : PM,2019-02-04,null
clap,96.77,03:05:56 : PM,2019-02-04,null
clap,96.35,03:06:01 : PM,2019-02-04,null
clap,96.23,03:06:07 : PM,2019-02-04,null
clap,95.33,03:06:13 : PM,2019-02-04,null
clap,96.17,03:06:18 : PM,2019-02-04,null
clap,95.25,03:06:24 : PM,2019-02-04,null
clap,95.26,03:06:29 : PM,2019-02-04,null
clap,94.92,03:06:35 : PM,2019-02-04,null
clap,94.93,03:06:41 : PM,2019-02-04,null
clap,94.77,03:06:47 : PM,2019-02-04,null
